symbol,date,minute,marketOpen,marketHigh,marketLow,marketClose,marketVolume,marketNumberOfTrades
DGAZ,2019-09-11,09:30,101.93,102.79,101.726,102.79,13855,47
DGAZ,2019-09-11,09:31,102.73,102.88,102.31,102.622,11484,53
DGAZ,2019-09-11,09:32,102.52,102.82,102.2,102.78,6424,55
DGAZ,2019-09-11,09:33,102.685,102.7,102,102.03,6151,22
DGAZ,2019-09-11,09:34,102.3,102.3,101.89,102.09,3563,17
DGAZ,2019-09-11,09:35,102.12,102.99,102.1,102.72,15712,76
DGAZ,2019-09-11,09:36,102.862,102.91,102.49,102.49,5985,37
DGAZ,2019-09-11,09:37,102.602,102.602,102.03,102.47,4528,17
DGAZ,2019-09-11,09:38,102.471,102.471,101.55,101.55,8026,20
DGAZ,2019-09-11,09:39,101.651,101.88,101.55,101.88,3996,18
DGAZ,2019-09-11,09:40,101.64,101.735,101.4,101.4,1796,11
DGAZ,2019-09-11,09:41,101.74,101.804,101.531,101.804,4441,13
DGAZ,2019-09-11,09:42,101.5,101.71,101.45,101.71,3550,9
DGAZ,2019-09-11,09:43,101.45,101.502,101.25,101.36,2325,16
DGAZ,2019-09-11,09:44,101.431,101.73,101.4,101.73,748,4
DGAZ,2019-09-11,09:45,101.545,102.13,101.545,102.13,2984,27
DGAZ,2019-09-11,09:46,102.12,102.12,101.8,102.1,2050,12
DGAZ,2019-09-11,09:47,102.022,102.19,101.97,102.02,1123,8
DGAZ,2019-09-11,09:48,102.28,102.5,102.122,102.296,4412,27
DGAZ,2019-09-11,09:49,102.3,102.33,102,102,1140,8
DGAZ,2019-09-11,09:50,102.07,102.07,101.76,101.94,3125,14
DGAZ,2019-09-11,09:51,102.183,102.22,101.63,101.84,2940,11
DGAZ,2019-09-11,09:52,101.71,101.71,101.38,101.38,1875,12
DGAZ,2019-09-11,09:53,101.27,101.38,101.23,101.37,2329,12
DGAZ,2019-09-11,09:54,101.32,101.35,101.3,101.3,1963,10
DGAZ,2019-09-11,09:55,101.27,101.59,101.27,101.454,1720,6
DGAZ,2019-09-11,09:56,101.66,101.71,101.29,101.29,883,7
DGAZ,2019-09-11,09:57,101.514,101.514,101.34,101.34,630,3
DGAZ,2019-09-11,09:58,101.48,101.61,101.48,101.52,600,5
DGAZ,2019-09-11,09:59,101.666,101.666,101.666,101.666,1500,1
DGAZ,2019-09-11,10:00,101.68,101.68,101,101.109,4867,17
DGAZ,2019-09-11,10:01,101.18,101.18,100.89,100.89,5363,21
DGAZ,2019-09-11,10:02,100.992,101.15,100.67,100.67,3340,15
DGAZ,2019-09-11,10:03,100.79,100.95,100.76,100.95,1400,10
DGAZ,2019-09-11,10:04,100.7,100.79,100.7,100.79,1125,4
DGAZ,2019-09-11,10:05,100.76,100.93,100.71,100.93,2150,13
DGAZ,2019-09-11,10:06,100.848,100.848,100.43,100.45,1788,9
DGAZ,2019-09-11,10:07,100.58,100.6,100.27,100.27,1953,12
DGAZ,2019-09-11,10:08,100.32,100.63,100.18,100.63,4288,32
DGAZ,2019-09-11,10:09,100.56,100.56,100.39,100.4,700,4
DGAZ,2019-09-11,10:10,100.5,100.5,100.06,100.14,3300,13
DGAZ,2019-09-11,10:11,100.2,100.3,100.02,100.02,1900,12
DGAZ,2019-09-11,10:12,100.07,100.27,100.07,100.27,1743,8
DGAZ,2019-09-11,10:13,100.4,100.4,100.141,100.39,1650,11
DGAZ,2019-09-11,10:14,100.25,100.27,100.07,100.27,800,8
DGAZ,2019-09-11,10:15,100.14,100.14,99.478,99.58,12756,88
DGAZ,2019-09-11,10:16,99.345,99.73,99.345,99.55,5289,18
DGAZ,2019-09-11,10:17,99.59,99.79,99.56,99.745,3825,16
DGAZ,2019-09-11,10:18,99.76,99.9,99.658,99.77,5516,31
DGAZ,2019-09-11,10:19,99.664,99.83,99.664,99.71,3394,20
DGAZ,2019-09-11,10:20,99.71,99.74,99.46,99.46,7390,42
DGAZ,2019-09-11,10:21,99.49,99.53,98.9,99.011,10022,41
DGAZ,2019-09-11,10:22,99.11,99.13,98.982,99.08,5700,35
DGAZ,2019-09-11,10:23,99.055,99.37,98.85,99.088,7605,38
DGAZ,2019-09-11,10:24,99.004,99.27,98.9,99.01,630,5
DGAZ,2019-09-11,10:25,98.89,99.02,98.82,98.966,3500,18
DGAZ,2019-09-11,10:26,98.91,98.99,98.7,98.973,2690,17
DGAZ,2019-09-11,10:27,98.95,99.07,98.85,98.88,2529,14
DGAZ,2019-09-11,10:28,99.03,99.458,99,99.458,2196,11
DGAZ,2019-09-11,10:29,99.429,99.73,99.21,99.41,3031,19
DGAZ,2019-09-11,10:30,99.31,99.31,99,99,3851,21
DGAZ,2019-09-11,10:31,98.82,99.072,98.75,99.072,1570,9
DGAZ,2019-09-11,10:32,99.19,99.36,98.89,99.347,1826,11
DGAZ,2019-09-11,10:33,99.2,99.63,99.2,99.62,3650,27
DGAZ,2019-09-11,10:34,99.88,99.89,99.666,99.86,2951,20
